date,value
ม.ค.-17,10.367
ก.พ.-17,10.36702381
มี.ค.-17,10.37555
เม.ย.-17,10.23749194
พ.ค.-17,10.05518902
มิ.ย.-17,9.947793269
ก.ค.-17,9.831656
ส.ค.-17,9.849465753
ก.ย.-17,9.790878698
ต.ค.-17,9.77862234
พ.ย.-17,9.777414692
ธ.ค.-17,9.787142241
ม.ค.-18,9.728634783
ก.พ.-18,9.677903433
มี.ค.-18,9.688104348
เม.ย.-18,9.769415217
พ.ค.-18,9.850352174
มิ.ย.-18,9.940246753
ก.ค.-18,9.875308696
ส.ค.-18,9.793430131
ก.ย.-18,9.693967672
ต.ค.-18,9.573840611
พ.ย.-18,9.450393939
ธ.ค.-18,9.374760776
ม.ค.-19,9.306113043
ก.พ.-19,9.220669528
มี.ค.-19,9.108112069
เม.ย.-19,8.976705628
พ.ค.-19,8.842436957
มิ.ย.-19,8.76675974
ก.ค.-19,8.799541304
ส.ค.-19,8.820930435
ก.ย.-19,8.837106061
ต.ค.-19,8.86029476
พ.ย.-19,8.903648707
ธ.ค.-19,8.911785714
ม.ค.-20,8.909884783
ก.พ.-20,8.92137931
มี.ค.-20,8.908821739
เม.ย.-20,8.898211207
พ.ค.-20,8.905112069
มิ.ย.-20,8.864575758
ก.ค.-20,8.848335498
ส.ค.-20,8.879108225
ก.ย.-20,8.896478448
ต.ค.-20,8.959452174
พ.ย.-20,9.092017241
ธ.ค.-20,9.302767241
ม.ค.-21,9.562734914
ก.พ.-21,9.975055794
มี.ค.-21,10.42162445
เม.ย.-21,10.97258009
พ.ค.-21,11.51131602
มิ.ย.-21,12.15148261
ก.ค.-21,12.6720671
ส.ค.-21,13.1458559
ก.ย.-21,13.4534329
ต.ค.-21,13.65331466
พ.ย.-21,13.73106034
ธ.ค.-21,13.76047845
ม.ค.-22,13.68763191
ก.พ.-22,13.71341561
มี.ค.-22,13.86383333
เม.ย.-22,14.07157806
พ.ค.-22,14.17362712
มิ.ย.-22,14.36441102
ก.ค.-22,14.6184979
ส.ค.-22,14.82772542
ก.ย.-22,15.09660633
ต.ค.-22,15.30210422
พ.ย.-22,15.42111849
ธ.ค.-22,15.5658384